alpha,budget,budget_pct,seed,obs_gradient,allocation_ratio,error_base_tail,error_corr_tail,delta_tail,delta_bulk,effectiveness,audits_tail,audits_bulk
0.01,25,1.25,0,0.07314518524739666,1.4080075143828117,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,8,17
0.01,25,1.25,1,0.3406579380764163,1.0453720508165398,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,6,19
0.01,25,1.25,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,7,18
0.01,25,1.25,3,0.23968985499840467,1.332431823303869,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,8,17
0.01,25,1.25,4,0.263111027742572,1.112612612612473,0.41312741312741313,0.28957528957528955,0.12355212355212358,0.04655870445344129,2.65368473494161,7,18
0.01,25,1.25,5,0.15926897316096744,1.0453720508165398,0.2478448275862069,0.2478448275862069,0.0,0.0,0.0,6,19
0.01,25,1.25,6,0.1570266936407435,1.5968090211130452,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,9,16
0.01,25,1.25,7,0.23981868791413763,1.678535856573483,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,9,16
0.01,25,1.25,8,0.22078572518978423,1.6219660194172698,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,9,16
0.01,25,1.25,9,0.2377935888147188,1.9840954274351261,0.36779324055666,0.11530815109343936,0.2524850894632207,0.08550434201736806,2.952892019409324,10,15
0.01,50,2.5,0,0.07314518524739666,1.6830089820357046,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,18,32
0.01,50,2.5,1,0.3406579380764163,1.4187192118224468,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,15,35
0.01,50,2.5,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,14,36
0.01,50,2.5,3,0.23968985499840467,1.7353849956739908,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,19,31
0.01,50,2.5,4,0.263111027742572,1.112612612612473,0.41312741312741313,0.305019305019305,0.10810810810810811,0.05263157894736842,2.0540540501513513,14,36
0.01,50,2.5,5,0.15926897316096744,1.287356321838887,0.2478448275862069,0.2478448275862069,0.0,0.0,0.0,14,36
0.01,50,2.5,6,0.1570266936407435,1.8925143953932386,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,20,30
0.01,50,2.5,7,0.23981868791413763,1.9893758300130167,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,20,30
0.01,50,2.5,8,0.22078572518978423,1.7673034763543012,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,19,31
0.01,50,2.5,9,0.2377935888147188,2.155138136696775,0.36779324055666,0.36779324055666,0.0,0.0,0.0,21,29
0.01,100,5.0,0,0.07314518524739666,0.9973386560211583,0.10778443113772455,0.10778443113772455,0.0,0.0,0.0,25,75
0.01,100,5.0,1,0.3406579380764163,1.287356321838887,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,28,72
0.01,100,5.0,2,0.33642617206876646,1.3646144650326795,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,30,70
0.01,100,5.0,3,0.23968985499840467,1.5926724137929062,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,36,64
0.01,100,5.0,4,0.263111027742572,1.5405405405403467,0.41312741312741313,0.305019305019305,0.10810810810810811,0.05263157894736842,2.0540540501513513,35,65
0.01,100,5.0,5,0.15926897316096744,1.4187192118224468,0.2478448275862069,0.23706896551724138,0.010775862068965525,0.009765625,1.1034482645627595,30,70
0.01,100,5.0,6,0.1570266936407435,1.7398922667324939,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,38,62
0.01,100,5.0,7,0.23981868791413763,1.2788844621512252,0.3605577689243028,0.3605577689243028,0.0,0.0,0.0,30,70
0.01,100,5.0,8,0.22078572518978423,1.4202289523255696,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,33,67
0.01,100,5.0,9,0.2377935888147188,1.902780041064834,0.36779324055666,0.2524850894632207,0.11530815109343934,0.046092184368737465,2.5016855335127013,39,61
0.01,200,10.0,0,0.07314518524739666,1.1066360429823812,0.10778443113772455,0.25149700598802394,-0.14371257485029937,-0.04336224149432955,3.3142330799600352,54,146
0.01,200,10.0,1,0.3406579380764163,1.0169033130492047,0.5064655172413793,0.10991379310344827,0.39655172413793105,0.12109375,3.274749719208928,47,153
0.01,200,10.0,2,0.33642617206876646,1.5682882657838253,0.5292887029288703,0.3807531380753138,0.1485355648535565,0.03482260183968462,4.265493001092547,66,134
0.01,200,10.0,3,0.23968985499840467,1.6628960651947098,0.36590038314176243,0.0,0.36590038314176243,0.12855209742895804,2.8463198203307307,74,126
0.01,200,10.0,4,0.263111027742572,1.2555484569871482,0.41312741312741313,0.28957528957528955,0.12355212355212358,0.04655870445344129,2.65368473494161,61,139
0.01,200,10.0,5,0.15926897316096744,1.3521126760561346,0.2478448275862069,0.23922413793103448,0.008620689655172431,-0.0078125,-1.1034482899862093,58,142
0.01,200,10.0,6,0.1570266936407435,1.2753901360258781,0.2591170825335892,0.47024952015355087,-0.21113243761996164,-0.10074374577417174,2.0957374197978713,62,138
0.01,200,10.0,7,0.23981868791413763,1.404265291773894,0.3605577689243028,0.2290836653386454,0.1314741035856574,0.04739652870493993,2.77391840501101,64,136
0.01,200,10.0,8,0.22078572518978423,1.2654187329746245,0.3650485436893204,0.21941747572815534,0.14563106796116504,0.05252525252525253,2.772591480905131,61,139
0.01,200,10.0,9,0.2377935888147188,1.4992600786257908,0.36779324055666,0.2524850894632207,0.11530815109343934,0.046092184368737465,2.5016855335127013,67,133
0.01,500,25.0,0,0.07314518524739666,0.9038381570191747,0.10778443113772455,0.23353293413173654,-0.12574850299401197,-0.04202801867911942,2.99201597518297,116,384
0.01,500,25.0,1,0.3406579380764163,1.4872563718138694,0.5064655172413793,0.3620689655172414,0.14439655172413796,0.04036458333333334,3.577308111270989,155,345
0.01,500,25.0,2,0.33642617206876646,1.4039405303073962,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,153,347
0.01,500,25.0,3,0.23968985499840467,1.2602263415496855,0.36590038314176243,0.36590038314176243,0.0,0.0,0.0,154,346
0.01,500,25.0,4,0.263111027742572,1.2614800885692672,0.41312741312741313,0.25096525096525096,0.16216216216216217,0.053981106612685556,3.0040540484890443,153,347
0.01,500,25.0,5,0.15926897316096744,1.3130418031205886,0.2478448275862069,0.2478448275862069,0.0,0.0,0.0,142,358
0.01,500,25.0,6,0.1570266936407435,1.1149492886508914,0.2591170825335892,0.2591170825335892,0.0,0.0,0.0,141,359
0.01,500,25.0,7,0.23981868791413763,1.353238209950715,0.3605577689243028,0.0,0.3605577689243028,0.130173564753004,2.7698232688906974,156,344
0.01,500,25.0,8,0.22078572518978423,1.3076315195302022,0.3650485436893204,0.3650485436893204,0.0,0.0,0.0,156,344
0.01,500,25.0,9,0.2377935888147188,1.4925402539714687,0.36779324055666,0.11530815109343936,0.2524850894632207,0.08550434201736806,2.952892019409324,167,333
0.1,25,1.25,0,0.32631674449633086,1.6830089820357046,0.49700598802395207,0.49700598802395207,0.0,0.0,0.0,9,16
0.1,25,1.25,1,0.3406579380764163,1.0453720508165398,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,6,19
0.1,25,1.25,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,7,18
0.1,25,1.25,3,0.3308028578466534,1.887611749680481,0.4846743295019157,0.4846743295019157,0.0,0.0,0.0,10,15
0.1,25,1.25,4,0.3303571428571429,2.2479316050741796,0.5212355212355212,0.5212355212355212,0.0,0.0,0.0,11,14
0.1,25,1.25,5,0.3271848979317755,1.287356321838887,0.5,0.5,0.0,0.0,0.0,7,18
0.1,25,1.25,6,0.3203631921479704,1.8925143953932386,0.47024952015355087,0.47024952015355087,0.0,0.0,0.0,10,15
0.1,25,1.25,7,0.3419156031106245,1.404265291773894,0.4701195219123506,0.4701195219123506,0.0,0.0,0.0,8,17
0.1,25,1.25,8,0.31923258348379124,1.6219660194172698,0.5359223300970873,0.5359223300970873,0.0,0.0,0.0,9,16
0.1,25,1.25,9,0.3398781658744924,2.3383981823342554,0.49105367793240556,0.49105367793240556,0.0,0.0,0.0,11,14
0.1,50,2.5,0,0.32631674449633086,1.4080075143828117,0.49700598802395207,0.49700598802395207,0.0,0.0,0.0,16,34
0.1,50,2.5,1,0.3406579380764163,1.4187192118224468,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,15,35
0.1,50,2.5,2,0.33642617206876646,1.2382612738259497,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,14,36
0.1,50,2.5,3,0.3308028578466534,1.4586090792985535,0.4846743295019157,0.4846743295019157,0.0,0.0,0.0,17,33
0.1,50,2.5,4,0.3303571428571429,1.9073359073356675,0.5212355212355212,0.5212355212355212,0.0,0.0,0.0,20,30
0.1,50,2.5,5,0.3271848979317755,1.1630941286111953,0.5,0.5,0.0,0.0,0.0,13,37
0.1,50,2.5,6,0.3203631921479704,1.8925143953932386,0.47024952015355087,0.47024952015355087,0.0,0.0,0.0,20,30
0.1,50,2.5,7,0.3419156031106245,1.678535856573483,0.4701195219123506,0.5298804780876494,-0.05976095617529875,0.014686248331108154,-4.069177806410665,18,32
0.1,50,2.5,8,0.31923258348379124,1.6219660194172698,0.5359223300970873,0.5359223300970873,0.0,0.0,0.0,18,32
0.1,50,2.5,9,0.3398781658744924,2.155138136696775,0.49105367793240556,0.49105367793240556,0.0,0.0,0.0,21,29
0.1,100,5.0,0,0.32631674449633086,0.9973386560211583,0.49700598802395207,0.49700598802395207,0.0,0.0,0.0,25,75
0.1,100,5.0,1,0.3406579380764163,1.287356321838887,0.5064655172413793,0.5064655172413793,0.0,0.0,0.0,28,72
0.1,100,5.0,2,0.33642617206876646,1.3646144650326795,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,30,70
0.1,100,5.0,3,0.3308028578466534,1.332431823303869,0.4846743295019157,0.4846743295019157,0.0,0.0,0.0,32,68
0.1,100,5.0,4,0.3303571428571429,1.6802721088433261,0.5212355212355212,0.5212355212355212,0.0,0.0,0.0,37,63
0.1,100,5.0,5,0.3271848979317755,1.557809330628569,0.5,0.5,0.0,0.0,0.0,32,68
0.1,100,5.0,6,0.3203631921479704,2.141529447418665,0.47024952015355087,0.47024952015355087,0.0,0.0,0.0,43,57
0.1,100,5.0,7,0.3419156031106245,1.404265291773894,0.4701195219123506,0.5298804780876494,-0.05976095617529875,0.014686248331108154,-4.069177806410665,32,68
0.1,100,5.0,8,0.31923258348379124,1.2954833262978516,0.5359223300970873,0.5359223300970873,0.0,0.0,0.0,31,69
0.1,100,5.0,9,0.3398781658744924,1.902780041064834,0.49105367793240556,0.49105367793240556,0.0,0.0,0.0,39,61
0.1,200,10.0,0,0.32631674449633086,1.1926217495078186,0.49700598802395207,0.49700598802395207,0.0,0.0,0.0,57,143
0.1,200,10.0,1,0.3406579380764163,1.0169033130492047,0.5064655172413793,0.49353448275862066,0.012931034482758674,0.0013020833333333426,9.9310337200552,47,153
0.1,200,10.0,2,0.33642617206876646,1.5682882657838253,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,66,134
0.1,200,10.0,3,0.3308028578466534,1.332431823303869,0.4846743295019157,0.4846743295019157,0.0,0.0,0.0,64,136
0.1,200,10.0,4,0.3303571428571429,1.346354758119295,0.5212355212355212,0.5212355212355212,0.0,0.0,0.0,64,136
0.1,200,10.0,5,0.3271848979317755,1.6676173191597181,0.5,0.5,0.0,0.0,0.0,67,133
0.1,200,10.0,6,0.3203631921479704,1.3982009339099302,0.47024952015355087,0.47024952015355087,0.0,0.0,0.0,66,134
0.1,200,10.0,7,0.3419156031106245,1.372233692965183,0.4701195219123506,0.5298804780876494,-0.05976095617529875,0.014686248331108154,-4.069177806410665,63,137
0.1,200,10.0,8,0.31923258348379124,1.3259868187936805,0.5359223300970873,0.5359223300970873,0.0,0.0,0.0,63,137
0.1,200,10.0,9,0.3398781658744924,1.4658615471349066,0.49105367793240556,0.49105367793240556,0.0,0.0,0.0,66,134
0.1,500,25.0,0,0.32631674449633086,1.1520504696975704,0.49700598802395207,0.49700598802395207,0.0,0.0,0.0,139,361
0.1,500,25.0,1,0.3406579380764163,1.4872563718138694,0.5064655172413793,0.49353448275862066,0.012931034482758674,0.0013020833333333426,9.9310337200552,155,345
0.1,500,25.0,2,0.33642617206876646,1.4039405303073962,0.5292887029288703,0.5292887029288703,0.0,0.0,0.0,153,347
0.1,500,25.0,3,0.3308028578466534,1.3945788299878181,0.4846743295019157,0.4846743295019157,0.0,0.0,0.0,165,335
0.1,500,25.0,4,0.3303571428571429,1.4870263228923972,0.5212355212355212,0.5212355212355212,0.0,0.0,0.0,171,329
0.1,500,25.0,5,0.3271848979317755,1.5152307228307766,0.5,0.5,0.0,0.0,0.0,157,343
0.1,500,25.0,6,0.3203631921479704,1.2166163970385107,0.47024952015355087,0.47024952015355087,0.0,0.0,0.0,150,350
0.1,500,25.0,7,0.3419156031106245,1.315739922155583,0.4701195219123506,0.5298804780876494,-0.05976095617529875,0.014686248331108154,-4.069177806410665,153,347
0.1,500,25.0,8,0.31923258348379124,1.3946875630201911,0.5359223300970873,0.5359223300970873,0.0,0.0,0.0,163,337
0.1,500,25.0,9,0.3398781658744924,1.5195413620991072,0.49105367793240556,0.49105367793240556,0.0,0.0,0.0,169,331
